The Test Voltage will increment by in 5 mV in the data logger,,,,,,,,,,,
,,,,,,,,,,,
Enter G to start Test:,,,,,,,,,,,
,,,,,,,,,,,
 Voltage(Ideal) (mV), Voltage(Measured) (mV), VirtualGND (mV), VRef (mV), Calculated Gain,Percent Error,,,,,,
19.9,20.759,21.8,1037,18.257,4.316582915,,,,,,
19.9,21.452,22.468,1018,17.714,7.798994975,,,,,,
19.9,20.747,21.903,1034,18.171,4.256281407,,,,,,
19.9,21.132,21.903,1034,18.171,6.190954774,,,,,,
19.9,20.282,19.762,1053,19.229,1.91959799,,,,,,
19.9,22.13,23.178,999,17.171,11.20603015,,,,,,
19.9,20.956,21.834,1036,18.229,5.306532663,,,,,,
19.9,19.9,25.518,1034,17.086,0,,,,,,
19.9,20.781,19.792,1052,19.2,4.427135678,,,,,,
19.9,20.528,21.386,1052,18.657,3.155778894,,,,,,
19.9,19.787,22.984,1052,18.143,0.567839196,,,,,,
19.9,20.767,22.097,1031,18.057,4.35678392,,,,,,
19.9,20.735,22.006,1031,18.086,4.195979899,,,,,,
19.9,20.9,22.006,1031,18.086,5.025125628,,,,,,
19.9,20.648,23.655,1034,17.629,3.75879397,,,,,,
19.9,21.122,22.006,1031,18.086,6.140703518,,,,,,
19.9,20.354,21.431,1048,18.571,2.281407035,,,,,,
19.9,20.823,22.097,1031,18.057,4.638190955,,,,,,
19.9,21.067,22.237,1027,17.943,5.864321608,,,,,,
19.9,20.967,21.903,1034,18.171,5.361809045,,,,,,
19.9,20.176,25.647,1031,17,1.386934673,,,,,,
19.9,20.712,22.097,1031,18.057,4.08040201,,,,,,
19.9,20.956,22.006,1031,18.086,5.306532663,,,,,,
19.9,20.212,23.866,1031,17.514,1.567839196,,,,,,
19.9,20.069,21.3,1052,18.686,0.849246231,,,,,,
19.9,20.176,21.3,1052,18.686,1.386934673,,,,,,
19.9,20.863,23.77,1031,17.543,4.83919598,,,,,,
19.9,20.724,21.992,1034,18.143,4.140703518,,,,,,
19.9,20.912,21.903,1034,18.171,5.085427136,,,,,,
19.9,20.527,21.903,1034,18.171,3.150753769,,,,,,
19.9,20.345,21.365,1050,18.629,2.236180905,,,,,,
24.9,25.48,23.77,1031,17.543,2.329317269,,,,,,
24.9,25.206,21.3,1052,18.686,1.228915663,,,,,,
24.9,25.766,22.006,1031,18.086,3.477911647,,,,,,
24.9,25.26,21.3,1052,18.686,1.445783133,,,,,,
24.9,26.153,22.006,1031,18.086,5.032128514,,,,,,
24.9,25.26,21.3,1052,18.686,1.445783133,,,,,,
24.9,25.099,21.3,1052,18.686,0.799196787,,,,,,
24.9,26.129,20.43,1031,18.6,4.935742972,,,,,,
24.9,25.742,20.336,1034,18.686,3.381526104,,,,,,
24.9,24.875,25.518,1034,17.086,0.100401606,,,,,,
24.9,25.865,21.903,1034,18.171,3.875502008,,,,,,
24.9,25.795,21.992,1034,18.143,3.59437751,,,,,,
24.9,26.153,22.006,1031,18.086,5.032128514,,,,,,
24.9,25.932,22.006,1031,18.086,4.144578313,,,,,,
24.9,26.098,22.006,1031,18.086,4.81124498,,,,,,
24.9,25.398,23.75,1034,17.6,2,,,,,,
24.9,25.146,21.431,1048,18.571,0.987951807,,,,,,
24.9,25.388,23.635,1037,17.686,1.959839357,,,,,,
24.9,25.932,22.006,1031,18.086,4.144578313,,,,,,
24.9,25.176,21.365,1050,18.629,1.108433735,,,,,,
24.9,24.672,20.76,1069,19.171,0.915662651,,,,,,
24.9,25.527,23.655,1034,17.629,2.518072289,,,,,,
24.9,26.116,20.336,1034,18.686,4.883534137,,,,,,
24.9,25.932,22.006,1031,18.086,4.144578313,,,,,,
24.9,26.209,22.006,1031,18.086,5.257028112,,,,,,
